date,period,code,name,side,weight_change_pct,execution_price,cost_bps,reason
2026-03-16,2026-W12,561380,电网设备ETF国泰,SELL,48.0,0.877067,8.0,周度/周期调仓
2026-03-20,2026-W12,159985,豆粕ETF华夏,STOP_SELL,48.0,2.223774,8.0,日度风控次日开盘
2026-03-30,2026-W14,159611,电力ETF广发,BUY,80.0,1.164,8.0,周度/周期调仓
2026-04-03,2026-W14,159611,电力ETF广发,STOP_SELL,80.0,1.069809,8.0,盘中止损
2026-04-13,2026-W16,159967,创业板成长ETF华夏,BUY,46.7,0.706,8.0,周度/周期调仓
2026-04-13,2026-W16,515880,通信ETF国泰,BUY,53.3,0.61303,8.0,周度/周期调仓
2026-04-20,2026-W17,159967,创业板成长ETF华夏,BUY,6.6,0.789,8.0,周度/周期调仓
2026-04-20,2026-W17,515880,通信ETF国泰,SELL,6.6,0.671654,8.0,周度/周期调仓
2026-04-27,2026-W18,588200,科创芯片ETF嘉实,BUY,90.0,0.970023,8.0,周度/周期调仓
2026-04-27,2026-W18,159967,创业板成长ETF华夏,SELL,53.3,0.78,8.0,周度/周期调仓
2026-04-27,2026-W18,515880,通信ETF国泰,SELL,46.7,0.681256,8.0,周度/周期调仓
2026-05-06,2026-W19,588080,科创50ETF易方达,BUY,46.7,1.665,8.0,周度/周期调仓
2026-05-06,2026-W19,588200,科创芯片ETF嘉实,SELL,36.7,1.090597,8.0,周度/周期调仓
2026-05-11,2026-W20,588080,科创50ETF易方达,BUY,6.6,1.677,8.0,周度/周期调仓
2026-05-11,2026-W20,588200,科创芯片ETF嘉实,SELL,6.6,1.137468,8.0,周度/周期调仓
2026-05-18,2026-W21,159577,美国50ETF汇添富,BUY,15.0,1.54,8.0,周度/周期调仓
2026-05-18,2026-W21,588080,科创50ETF易方达,SELL,5.3,1.71,8.0,周度/周期调仓
2026-05-18,2026-W21,588200,科创芯片ETF嘉实,SELL,46.7,1.153431,8.0,周度/周期调仓
2026-05-22,2026-W21,588080,科创50ETF易方达,STOP_SELL,48.0,1.811187,8.0,日度风控次日开盘
2026-05-25,2026-W22,159667,工业母机ETF国泰,BUY,48.0,0.806585,8.0,周度/周期调仓
2026-05-25,2026-W22,159941,纳指ETF广发,BUY,15.0,1.626,8.0,周度/周期调仓
2026-05-25,2026-W22,159577,美国50ETF汇添富,SELL,15.0,1.598,8.0,周度/周期调仓
2026-06-01,2026-W23,159667,工业母机ETF国泰,SELL,1.3,0.755989,8.0,周度/周期调仓
2026-06-02,2026-W23,159667,工业母机ETF国泰,STOP_SELL,46.7,0.727991,8.0,日度风控次日开盘
2026-06-08,2026-W24,515880,通信ETF国泰,BUY,90.0,0.798505,8.0,周度/周期调仓
2026-06-08,2026-W24,159941,纳指ETF广发,SELL,15.0,1.572,8.0,周度/周期调仓
2026-06-15,2026-W25,159516,半导体设备ETF国泰,BUY,90.0,0.670845,8.0,周度/周期调仓
2026-06-15,2026-W25,515880,通信ETF国泰,SELL,90.0,0.809624,8.0,周度/周期调仓
2026-06-22,2026-W26,159363,创业板人工智能ETF华宝,BUY,46.7,1.546,8.0,周度/周期调仓
2026-06-22,2026-W26,159516,半导体设备ETF国泰,SELL,36.7,0.774398,8.0,周度/周期调仓
2026-06-29,2026-W27,159363,创业板人工智能ETF华宝,BUY,1.3,1.51,8.0,周度/周期调仓
2026-06-29,2026-W27,513520,日经ETF华夏,BUY,15.0,2.522,8.0,周度/周期调仓
2026-06-29,2026-W27,159516,半导体设备ETF国泰,SELL,53.3,0.89546,8.0,周度/周期调仓
2026-07-02,2026-W27,513520,日经ETF华夏,STOP_SELL,15.0,2.416431,8.0,盘中止损
2026-07-03,2026-W27,159363,创业板人工智能ETF华宝,STOP_SELL,48.0,1.3986,8.0,日度风控次日开盘
2026-07-06,2026-W28,515120,创新药ETF广发,BUY,42.0,0.645,8.0,周度/周期调仓
2026-07-06,2026-W28,588220,科创100ETF鹏华,BUY,48.0,2.128,8.0,周度/周期调仓
2026-07-13,2026-W29,515120,创新药ETF广发,BUY,6.0,0.641,8.0,周度/周期调仓
2026-07-13,2026-W29,588220,科创100ETF鹏华,SELL,6.0,2.032,8.0,周度/周期调仓
2026-07-14,2026-W29,588220,科创100ETF鹏华,STOP_SELL,42.0,1.936062,8.0,日度风控次日开盘
2026-07-20,2026-W30,515120,创新药ETF广发,SELL,8.0,0.623,8.0,周度/周期调仓
2026-07-27,2026-W31,159985,豆粕ETF华夏,BUY,80.0,2.267,8.0,周度/周期调仓
2026-07-27,2026-W31,515120,创新药ETF广发,SELL,40.0,0.622,8.0,周度/周期调仓
