date,period,code,name,side,weight_change_pct,execution_price,cost_bps,reason
2026-05-06,2026-W19,159516,半导体设备ETF国泰,BUY,31.5,0.518767,8.0,周度/周期调仓
2026-05-06,2026-W19,588080,科创50ETF易方达,BUY,36.0,1.665,8.0,周度/周期调仓
2026-05-18,2026-W21,159577,美国50ETF汇添富,BUY,15.0,1.54,8.0,周度/周期调仓
2026-05-18,2026-W21,159516,半导体设备ETF国泰,SELL,31.5,0.604311,8.0,周度/周期调仓
2026-05-18,2026-W21,588080,科创50ETF易方达,SELL,8.0,1.71,8.0,周度/周期调仓
2026-05-22,2026-W21,588080,科创50ETF易方达,STOP_SELL,28.0,1.811187,8.0,日度风控次日开盘
2026-05-25,2026-W22,159667,工业母机ETF国泰,BUY,28.0,0.806585,8.0,周度/周期调仓
2026-05-25,2026-W22,159941,纳指ETF广发,BUY,15.0,1.626,8.0,周度/周期调仓
2026-05-25,2026-W22,159577,美国50ETF汇添富,SELL,15.0,1.598,8.0,周度/周期调仓
2026-06-01,2026-W23,159667,工业母机ETF国泰,BUY,3.5,0.75796,8.0,周度/周期调仓
2026-06-02,2026-W23,159667,工业母机ETF国泰,STOP_SELL,31.5,0.727991,8.0,日度风控次日开盘
2026-06-08,2026-W24,515880,通信ETF国泰,BUY,28.0,0.798505,8.0,周度/周期调仓
2026-06-08,2026-W24,159941,纳指ETF广发,SELL,15.0,1.572,8.0,周度/周期调仓
2026-06-15,2026-W25,159516,半导体设备ETF国泰,BUY,28.0,0.670845,8.0,周度/周期调仓
2026-06-15,2026-W25,515880,通信ETF国泰,SELL,28.0,0.809624,8.0,周度/周期调仓
2026-06-22,2026-W26,159363,创业板人工智能ETF华宝,BUY,31.5,1.546,8.0,周度/周期调仓
2026-06-22,2026-W26,159516,半导体设备ETF国泰,BUY,8.0,0.760891,8.0,周度/周期调仓
2026-06-29,2026-W27,513520,日经ETF华夏,BUY,15.0,2.522,8.0,周度/周期调仓
2026-06-29,2026-W27,159363,创业板人工智能ETF华宝,SELL,3.5,1.498,8.0,周度/周期调仓
2026-06-29,2026-W27,159516,半导体设备ETF国泰,SELL,36.0,0.89546,8.0,周度/周期调仓
2026-07-02,2026-W27,513520,日经ETF华夏,STOP_SELL,15.0,2.416431,8.0,盘中止损
2026-07-03,2026-W27,159363,创业板人工智能ETF华宝,STOP_SELL,28.0,1.3986,8.0,日度风控次日开盘
2026-07-06,2026-W28,515120,创新药ETF广发,BUY,24.5,0.645,8.0,周度/周期调仓
2026-07-06,2026-W28,588220,科创100ETF鹏华,BUY,28.0,2.128,8.0,周度/周期调仓
2026-07-13,2026-W29,515120,创新药ETF广发,BUY,3.5,0.641,8.0,周度/周期调仓
2026-07-13,2026-W29,588220,科创100ETF鹏华,SELL,3.5,2.032,8.0,周度/周期调仓
2026-07-14,2026-W29,588220,科创100ETF鹏华,STOP_SELL,24.5,1.936062,8.0,日度风控次日开盘
2026-07-20,2026-W30,515120,创新药ETF广发,SELL,12.0,0.623,8.0,周度/周期调仓
